OrderID,OrderDate,Model,Storage,Color,Region,City,Channel,UnitPrice,Quantity,DiscountRate,GrossSales,NetSales,COGS,Profit
IP10038,06-03-2025,iPhone 14,512GB,White,North,Lucknow,Online,82100,2,0.1,164200,147780,125200,22580
IP10039,27-11-2023,iPhone 13,128GB,Gold,East,Bhubaneswar,Online,64900,1,0,64900,64900,54200,10700
IP10040,19-08-2023,iPhone 15 Pro,128GB,White,North,Lucknow,Online,147200,1,0.05,147200,139840,108100,31740
IP10041,24-09-2024,iPhone 15,128GB,Gold,South,Hyderabad,Online,92300,1,0.2,92300,73840,68800,5040
IP10042,10-12-2024,iPhone 13,1TB,Silver,West,Pune,Online,67700,1,0.1,67700,60930,52300,8630
IP10043,13-08-2023,iPhone 14,512GB,Red,South,Hyderabad,Store,71800,2,0.15,143600,122060,105800,16260
IP10044,06-04-2025,iPhone 14 Pro,128GB,Black,East,Bhubaneswar,Online,118100,2,0,236200,236200,185200,51000
IP10045,22-11-2024,iPhone 15 Pro,256GB,Gold,West,Mumbai,Store,130900,1,0,130900,130900,96600,34300
IP10046,25-09-2023,iPhone 14,512GB,Blue,South,Chennai,Store,73800,1,0.2,73800,59040,59500,-460
IP10047,04-09-2024,iPhone 15 Pro Max,128GB,Silver,West,Ahmedabad,Online,148500,1,0.05,148500,141075,109900,31175
IP10048,02-01-2023,iPhone 14 Pro,128GB,Black,South,Chennai,Store,122600,1,0.2,122600,98080,86400,11680
IP10049,05-01-2025,iPhone 14,512GB,White,West,Ahmedabad,Store,83600,1,0.1,83600,75240,67100,8140
IP10050,22-02-2023,iPhone 13,128GB,Silver,East,Patna,Online,67300,2,0,134600,134600,105400,29200
IP10051,04-09-2023,iPhone 14 Pro,256GB,Silver,West,Mumbai,Store,126800,1,0.2,126800,101440,95800,5640
IP10052,05-02-2024,iPhone 15 Pro Max,1TB,Gold,North,Delhi,Online,161800,2,0.05,323600,307420,249400,58020
IP10053,01-09-2024,iPhone 15 Pro,128GB,Blue,South,Chennai,Online,139000,1,0,139000,139000,114300,24700
IP10054,24-05-2023,iPhone 14 Pro,512GB,Black,West,Mumbai,Online,130900,2,0,261800,261800,203200,58600
IP10055,08-04-2024,iPhone 14 Pro,1TB,Gold,South,Bengaluru,Online,111000,2,0.05,222000,210900,166200,44700
IP10056,07-02-2024,iPhone 15,128GB,White,West,Pune,Online,90700,1,0.1,90700,81630,66600,15030
IP10057,13-05-2025,iPhone 14,128GB,Red,North,Chandigarh,Online,71400,1,0.05,71400,67830,57400,10430
IP10058,01-10-2024,iPhone 15,512GB,Blue,South,Bengaluru,Online,87800,2,0.05,175600,166820,126600,40220
IP10059,17-04-2024,iPhone 15,512GB,Blue,North,Chandigarh,Store,83100,1,0.2,83100,66480,69100,-2620
IP10060,02-09-2024,iPhone 15,512GB,Black,North,Chandigarh,Online,83400,2,0.2,166800,133440,137200,-3760
IP10061,25-07-2024,iPhone 14 Pro,128GB,Black,East,Patna,Store,116500,1,0.15,116500,99025,83200,15825
IP10062,13-10-2024,iPhone 15 Pro,128GB,Red,South,Chennai,Online,136700,2,0.15,273400,232390,217400,14990
IP10063,09-01-2023,iPhone 13,256GB,Blue,East,Kolkata,Store,64200,1,0.2,64200,51360,51900,-540
IP10064,11-05-2023,iPhone 14 Pro,128GB,Silver,West,Ahmedabad,Store,131400,1,0.15,131400,111690,107400,4290
IP10065,19-09-2024,iPhone 14 Pro,1TB,Silver,West,Ahmedabad,Online,112100,2,0.05,224200,212990,183400,29590
IP10066,14-04-2023,iPhone 15,1TB,Silver,South,Hyderabad,Store,89100,1,0.15,89100,75735,67300,8435
IP10067,17-04-2024,iPhone 15 Pro,128GB,Blue,West,Mumbai,Store,139900,1,0.2,139900,111920,103900,8020
IP10068,27-05-2025,iPhone 15 Pro,512GB,Red,East,Patna,Online,136500,1,0.2,136500,109200,104700,4500
IP10069,11-11-2024,iPhone 15,256GB,Silver,North,Chandigarh,Store,82600,2,0,165200,165200,121600,43600
IP10070,04-10-2023,iPhone 14,512GB,White,South,Bengaluru,Online,72700,2,0,145400,145400,116000,29400
IP10071,15-05-2023,iPhone 14,1TB,Gold,North,Chandigarh,Store,80800,2,0.2,161600,129280,126800,2480
IP10072,04-04-2024,iPhone 14,1TB,Red,East,Kolkata,Online,77600,1,0,77600,77600,57400,20200
IP10073,19-01-2025,iPhone 13,1TB,White,South,Hyderabad,Store,68800,1,0,68800,68800,52200,16600
IP10074,13-03-2024,iPhone 15 Pro,256GB,Black,East,Kolkata,Store,147200,1,0.2,147200,117760,120600,-2840
IP10075,08-03-2025,iPhone 15 Pro,512GB,Red,East,Bhubaneswar,Store,139400,1,0.05,139400,132430,107900,24530
IP10076,28-03-2024,iPhone 15 Pro Max,1TB,Red,West,Mumbai,Store,146900,2,0.2,293800,235040,218000,17040
IP10077,30-06-2024,iPhone 15,256GB,Blue,East,Kolkata,Store,91500,2,0.05,183000,173850,133000,40850
IP10078,08-08-2023,iPhone 14 Pro,512GB,Blue,North,Delhi,Online,121700,1,0.05,121700,115615,101900,13715
IP10079,09-04-2023,iPhone 15,256GB,Silver,South,Bengaluru,Store,91200,1,0.15,91200,77520,76500,1020
IP10080,11-05-2024,iPhone 14 Pro,1TB,Red,North,Delhi,Store,123800,1,0.15,123800,105230,104600,630
IP10081,26-04-2023,iPhone 15 Pro,128GB,Gold,East,Patna,Online,128800,1,0.1,128800,115920,93800,22120
IP10082,10-06-2023,iPhone 14 Pro,1TB,Red,South,Chennai,Online,117900,2,0.1,235800,212220,178200,34020
IP10083,04-01-2025,iPhone 15,1TB,Black,East,Patna,Store,92700,1,0.05,92700,88065,72800,15265
IP10084,02-03-2025,iPhone 15,256GB,Gold,North,Chandigarh,Online,83100,1,0,83100,83100,70500,12600
IP10085,30-09-2024,iPhone 15 Pro Max,1TB,White,East,Kolkata,Online,155500,1,0.1,155500,139950,116400,23550
IP10086,14-04-2023,iPhone 15,512GB,White,East,Patna,Store,90500,1,0.15,90500,76925,73000,3925
IP10087,08-02-2023,iPhone 14 Pro,1TB,Blue,North,Chandigarh,Online,117300,1,0.2,117300,93840,89500,4340
IP10088,28-03-2025,iPhone 13,512GB,White,North,Lucknow,Online,73000,1,0,73000,73000,52000,21000
IP10089,21-06-2025,iPhone 14,256GB,Black,South,Bengaluru,Online,77500,1,0.15,77500,65875,56500,9375
IP10090,14-02-2025,iPhone 15 Pro Max,128GB,Gold,South,Chennai,Store,161100,2,0.1,322200,289980,228000,61980
IP10091,01-06-2025,iPhone 14,128GB,White,West,Mumbai,Online,75100,2,0.1,150200,135180,118200,16980
IP10092,10-03-2025,iPhone 15 Pro,1TB,Red,South,Bengaluru,Online,137300,1,0,137300,137300,102900,34400
IP10093,28-11-2024,iPhone 15 Pro Max,512GB,Silver,North,Lucknow,Online,156300,1,0.1,156300,140670,129100,11570
IP10094,23-07-2024,iPhone 15 Pro,1TB,Silver,West,Mumbai,Store,120900,2,0,241800,241800,170600,71200
IP10095,21-02-2025,iPhone 15,1TB,Black,East,Patna,Store,85400,2,0.05,170800,162260,128000,34260
IP10096,21-09-2023,iPhone 15,256GB,Silver,West,Ahmedabad,Store,91500,2,0.15,183000,155550,154600,950
IP10097,13-04-2023,iPhone 15,512GB,Blue,South,Bengaluru,Store,81300,1,0.15,81300,69105,59300,9805
IP10098,16-12-2023,iPhone 14,1TB,Gold,East,Patna,Online,78100,1,0.15,78100,66385,56300,10085
IP10099,17-10-2024,iPhone 14 Pro,256GB,Red,South,Chennai,Store,134400,2,0.1,268800,241920,217000,24920
IP10100,20-10-2024,iPhone 14 Pro,512GB,Gold,North,Lucknow,Online,129900,1,0,129900,129900,99400,30500
IP10101,27-02-2023,iPhone 14,1TB,Red,South,Hyderabad,Store,71200,1,0.15,71200,60520,51800,8720
IP10102,09-04-2025,iPhone 15,128GB,Black,West,Mumbai,Store,92500,1,0.05,92500,87875,74300,13575
IP10103,02-10-2024,iPhone 14 Pro,512GB,Red,West,Pune,Store,114300,1,0.1,114300,102870,87600,15270
IP10104,06-04-2023,iPhone 15 Pro Max,1TB,Blue,West,Pune,Online,156500,2,0,313000,313000,227600,85400
IP10105,25-08-2023,iPhone 15 Pro Max,256GB,Blue,North,Lucknow,Online,148400,2,0.05,296800,281960,230800,51160
IP10106,04-12-2024,iPhone 14,1TB,Blue,West,Mumbai,Online,78300,1,0.1,78300,70470,63400,7070
IP10107,17-03-2023,iPhone 14,512GB,White,West,Mumbai,Online,78500,1,0.1,78500,70650,63900,6750
IP10108,27-11-2024,iPhone 13,128GB,Gold,West,Ahmedabad,Online,65100,2,0.15,130200,110670,92000,18670
IP10109,04-04-2023,iPhone 13,128GB,Gold,West,Pune,Store,72800,2,0.15,145600,123760,105800,17960
IP10110,30-06-2025,iPhone 14 Pro,256GB,Black,West,Pune,Online,112400,2,0,224800,224800,184600,40200
IP10111,03-09-2024,iPhone 15,1TB,Black,North,Delhi,Online,82600,1,0.2,82600,66080,65900,180
IP10112,31-01-2025,iPhone 14 Pro,128GB,White,North,Lucknow,Store,125400,1,0.2,125400,100320,104500,-4180
IP10113,29-06-2023,iPhone 15 Pro,256GB,Gold,East,Patna,Store,131200,1,0.1,131200,118080,110200,7880
IP10114,30-08-2024,iPhone 15 Pro,1TB,Blue,North,Lucknow,Online,145700,1,0.05,145700,138415,116900,21515
IP10115,16-01-2023,iPhone 15 Pro Max,256GB,Blue,North,Delhi,Online,142100,1,0.05,142100,134995,119600,15395
IP10116,14-06-2025,iPhone 15 Pro,128GB,White,North,Chandigarh,Store,139100,2,0.2,278200,222560,218800,3760
IP10117,20-11-2024,iPhone 15,512GB,Black,South,Chennai,Store,88600,1,0.15,88600,75310,68100,7210
IP10118,21-11-2024,iPhone 13,256GB,Blue,South,Chennai,Online,72300,2,0.2,144600,115680,109600,6080
IP10119,21-02-2024,iPhone 14,256GB,Blue,South,Bengaluru,Online,79800,1,0.05,79800,75810,58200,17610
IP10120,01-02-2024,iPhone 14 Pro,512GB,Red,North,Chandigarh,Store,115400,1,0.15,115400,98090,81100,16990
IP10121,13-05-2024,iPhone 14 Pro,1TB,Red,North,Lucknow,Online,125500,1,0.15,125500,106675,89200,17475
IP10122,14-02-2025,iPhone 15 Pro Max,512GB,Gold,West,Mumbai,Online,151600,1,0.05,151600,144020,106600,37420
IP10123,22-02-2024,iPhone 15 Pro Max,128GB,Silver,West,Ahmedabad,Online,147800,1,0.05,147800,140410,106100,34310
IP10124,15-05-2024,iPhone 15,1TB,Blue,South,Hyderabad,Store,85200,1,0.15,85200,72420,70900,1520
IP10125,24-02-2024,iPhone 13,1TB,Blue,East,Patna,Store,66300,1,0,66300,66300,49200,17100
IP10126,29-01-2024,iPhone 14,512GB,Red,East,Patna,Store,76400,2,0.2,152800,122240,125400,-3160
IP10127,19-11-2024,iPhone 13,1TB,Black,West,Pune,Store,71000,2,0,142000,142000,107400,34600
IP10128,06-04-2023,iPhone 15,128GB,Silver,East,Patna,Online,85100,1,0.05,85100,80845,66700,14145
IP10129,18-02-2025,iPhone 15 Pro,512GB,Gold,East,Bhubaneswar,Store,132900,1,0,132900,132900,107800,25100
IP10130,16-05-2025,iPhone 14,512GB,Gold,South,Chennai,Store,71500,1,0.15,71500,60775,55800,4975
IP10131,18-08-2024,iPhone 13,128GB,Silver,South,Hyderabad,Online,72400,1,0.1,72400,65160,53900,11260
IP10132,19-01-2023,iPhone 15 Pro,128GB,Gold,East,Kolkata,Online,131700,2,0,263400,263400,222200,41200
IP10133,17-03-2023,iPhone 15,128GB,Silver,South,Chennai,Store,85300,2,0.2,170600,136480,143800,-7320
IP10134,19-01-2024,iPhone 15 Pro Max,512GB,Red,East,Patna,Online,154500,1,0.15,154500,131325,122800,8525
IP10135,03-06-2025,iPhone 15 Pro,256GB,Red,South,Hyderabad,Online,122800,2,0,245600,245600,184000,61600
IP10136,09-06-2025,iPhone 14 Pro,1TB,Blue,West,Mumbai,Store,115300,1,0.1,115300,103770,94400,9370
IP10137,22-07-2024,iPhone 15 Pro,1TB,White,East,Bhubaneswar,Store,123400,1,0.1,123400,111060,95500,15560
IP10138,02-02-2024,iPhone 14 Pro,1TB,Red,West,Mumbai,Online,123700,1,0.2,123700,98960,100300,-1340
IP10139,02-01-2025,iPhone 15,256GB,Red,North,Chandigarh,Store,85300,1,0.15,85300,72505,72100,405
IP10140,09-01-2023,iPhone 15,256GB,Red,North,Delhi,Store,91400,2,0,182800,182800,151800,31000
IP10141,18-08-2023,iPhone 15,128GB,Gold,East,Kolkata,Online,81300,1,0.15,81300,69105,59600,9505
IP10142,28-01-2024,iPhone 15 Pro Max,256GB,Black,East,Patna,Store,164700,1,0.2,164700,131760,118900,12860
IP10143,29-01-2023,iPhone 15 Pro Max,1TB,Silver,North,Chandigarh,Store,142500,1,0.1,142500,128250,112200,16050
IP10144,31-12-2023,iPhone 15 Pro Max,1TB,Gold,North,Lucknow,Online,151100,2,0.05,302200,287090,222200,64890
IP10145,23-11-2023,iPhone 15 Pro Max,512GB,White,North,Chandigarh,Online,169600,2,0,339200,339200,255200,84000
IP10146,09-09-2023,iPhone 15,256GB,Silver,West,Mumbai,Online,81300,1,0.1,81300,73170,61500,11670
IP10147,16-06-2023,iPhone 13,512GB,Blue,West,Pune,Online,66400,1,0.05,66400,63080,49800,13280
IP10148,06-05-2023,iPhone 15 Pro,1TB,Gold,South,Bengaluru,Online,134800,1,0,134800,134800,102600,32200
IP10149,29-09-2024,iPhone 15 Pro,1TB,Gold,South,Chennai,Online,121700,2,0.05,243400,231230,198400,32830
IP10150,13-06-2025,iPhone 15,512GB,Red,West,Ahmedabad,Online,89700,1,0.15,89700,76245,72000,4245
IP10151,14-12-2023,iPhone 14 Pro,256GB,Black,East,Patna,Store,134100,1,0.15,134100,113985,103500,10485
IP10152,13-02-2024,iPhone 15 Pro Max,512GB,Red,West,Mumbai,Store,166100,1,0.15,166100,141185,127100,14085
IP10153,27-02-2023,iPhone 13,256GB,Red,West,Ahmedabad,Store,60200,2,0.1,120400,108360,94400,13960
IP10154,25-03-2025,iPhone 13,1TB,Blue,North,Lucknow,Online,73400,1,0.2,73400,58720,61600,-2880
IP10155,02-02-2025,iPhone 15 Pro Max,1TB,Blue,South,Hyderabad,Store,142200,1,0.05,142200,135090,114400,20690
IP10156,16-03-2024,iPhone 15 Pro Max,256GB,Gold,West,Ahmedabad,Online,155700,1,0,155700,155700,114100,41600
IP10157,23-05-2023,iPhone 15 Pro Max,128GB,Blue,East,Kolkata,Store,153600,1,0.05,153600,145920,123600,22320
IP10158,16-09-2023,iPhone 13,512GB,Blue,East,Kolkata,Online,73500,1,0.05,73500,69825,61500,8325
IP10159,26-11-2023,iPhone 15 Pro,512GB,Gold,West,Mumbai,Store,148500,2,0.15,297000,252450,225400,27050
IP10160,12-02-2024,iPhone 14 Pro,512GB,Black,East,Kolkata,Online,125500,2,0.05,251000,238450,182000,56450
IP10161,06-11-2024,iPhone 15 Pro Max,1TB,Gold,West,Mumbai,Store,153900,1,0,153900,153900,113000,40900
IP10162,23-06-2024,iPhone 14 Pro,128GB,Red,West,Ahmedabad,Store,111900,1,0.2,111900,89520,82700,6820
IP10163,16-05-2024,iPhone 15,512GB,Black,South,Chennai,Online,80500,1,0.2,80500,64400,60100,4300
IP10164,24-12-2024,iPhone 15 Pro,512GB,Gold,South,Hyderabad,Online,138100,2,0.15,276200,234770,200000,34770
IP10165,11-07-2024,iPhone 15 Pro Max,512GB,Silver,East,Kolkata,Online,142300,1,0,142300,142300,119900,22400
IP10166,13-09-2023,iPhone 13,512GB,Red,North,Delhi,Online,68700,1,0.2,68700,54960,52400,2560
IP10167,03-04-2025,iPhone 14,1TB,Red,West,Ahmedabad,Store,83100,1,0.2,83100,66480,58700,7780
IP10168,29-04-2023,iPhone 15 Pro Max,256GB,Red,North,Chandigarh,Store,152300,1,0.1,152300,137070,125100,11970
IP10169,12-08-2023,iPhone 13,512GB,White,East,Patna,Online,74800,1,0.1,74800,67320,59000,8320
IP10170,04-03-2023,iPhone 13,512GB,Gold,West,Mumbai,Store,65900,1,0.1,65900,59310,54500,4810
IP10171,05-04-2024,iPhone 14,128GB,Red,North,Lucknow,Online,71000,1,0.2,71000,56800,54100,2700
IP10172,20-01-2024,iPhone 13,128GB,Blue,South,Bengaluru,Online,60200,1,0,60200,60200,49900,10300
IP10173,09-12-2024,iPhone 15 Pro,256GB,Gold,South,Bengaluru,Store,150000,1,0.05,150000,142500,125500,17000
IP10174,23-01-2023,iPhone 15 Pro,128GB,Blue,South,Bengaluru,Store,143100,1,0.05,143100,135945,116400,19545
IP10175,24-03-2023,iPhone 13,128GB,White,North,Chandigarh,Online,63700,1,0.2,63700,50960,46500,4460
IP10176,01-01-2023,iPhone 14 Pro,128GB,White,West,Mumbai,Online,133900,1,0.15,133900,113815,97900,15915
IP10177,24-03-2024,iPhone 15 Pro,128GB,Silver,North,Chandigarh,Store,140200,2,0.1,280400,252360,198200,54160
IP10178,05-04-2023,iPhone 15 Pro,128GB,Red,South,Hyderabad,Online,123400,1,0.2,123400,98720,95600,3120
IP10179,13-03-2024,iPhone 14 Pro,1TB,Silver,North,Delhi,Store,129300,1,0.15,129300,109905,96500,13405
IP10180,23-02-2023,iPhone 15,128GB,Red,East,Kolkata,Online,94500,1,0.1,94500,85050,78600,6450
IP10181,04-04-2025,iPhone 15 Pro,256GB,Black,South,Chennai,Store,137700,1,0.15,137700,117045,97000,20045
IP10182,26-07-2023,iPhone 15 Pro,512GB,Red,East,Kolkata,Online,143500,1,0.2,143500,114800,115600,-800
IP10183,10-03-2024,iPhone 15 Pro Max,256GB,Red,East,Kolkata,Store,167100,2,0.1,334200,300780,234600,66180
IP10184,16-03-2025,iPhone 15,1TB,Red,North,Chandigarh,Store,89100,1,0.1,89100,80190,67600,12590
IP10185,08-05-2025,iPhone 15 Pro Max,512GB,Blue,South,Hyderabad,Store,142700,1,0,142700,142700,107300,35400
IP10186,15-06-2023,iPhone 13,128GB,Black,East,Kolkata,Store,66800,1,0.05,66800,63460,50700,12760
IP10187,28-01-2025,iPhone 15 Pro,128GB,Gold,West,Ahmedabad,Online,135700,1,0.15,135700,115345,114300,1045
IP10188,18-06-2025,iPhone 14 Pro,1TB,Silver,North,Chandigarh,Store,121500,1,0.1,121500,109350,94000,15350
IP10189,22-05-2024,iPhone 13,256GB,White,East,Kolkata,Online,61000,1,0.1,61000,54900,51700,3200
IP10190,22-02-2023,iPhone 15 Pro,512GB,Black,West,Ahmedabad,Online,130400,1,0.15,130400,110840,103700,7140
IP10191,21-01-2025,iPhone 15 Pro,128GB,Gold,West,Mumbai,Online,130200,1,0.1,130200,117180,93700,23480
IP10192,02-07-2023,iPhone 15 Pro Max,512GB,Blue,West,Mumbai,Online,157500,1,0.05,157500,149625,113500,36125
IP10193,03-06-2024,iPhone 15 Pro,1TB,Black,South,Hyderabad,Online,125400,2,0,250800,250800,188600,62200
IP10194,14-07-2023,iPhone 15 Pro Max,256GB,Red,East,Patna,Store,166200,1,0.05,166200,157890,133000,24890
IP10195,02-03-2023,iPhone 14 Pro,512GB,Silver,West,Ahmedabad,Online,114800,1,0,114800,114800,94500,20300
IP10196,10-04-2024,iPhone 14,256GB,Gold,North,Lucknow,Online,74200,1,0.1,74200,66780,52300,14480
IP10197,17-04-2025,iPhone 15,1TB,Red,East,Patna,Store,81800,1,0.05,81800,77710,61600,16110
IP10198,15-02-2023,iPhone 15 Pro,128GB,Blue,East,Kolkata,Store,130900,1,0.2,130900,104720,98100,6620
IP10199,14-03-2023,iPhone 15,512GB,Black,South,Chennai,Online,81400,1,0,81400,81400,64600,16800
IP10200,27-08-2023,iPhone 14,512GB,White,South,Chennai,Store,77700,1,0.1,77700,69930,65100,4830
IP10201,26-07-2024,iPhone 13,128GB,Red,East,Kolkata,Online,60000,2,0.15,120000,102000,98600,3400
IP10202,16-09-2024,iPhone 15 Pro,256GB,Gold,West,Mumbai,Store,137900,2,0,275800,275800,201800,74000
IP10203,30-09-2024,iPhone 15,128GB,Red,North,Chandigarh,Store,93900,1,0.2,93900,75120,74400,720
IP10204,19-03-2023,iPhone 15,1TB,Blue,North,Chandigarh,Online,86900,1,0.1,86900,78210,61600,16610
IP10205,29-11-2024,iPhone 14,1TB,Silver,West,Mumbai,Store,73800,1,0,73800,73800,59300,14500
IP10206,19-01-2025,iPhone 14,1TB,Gold,East,Bhubaneswar,Online,81200,2,0.15,162400,138040,116200,21840
IP10207,20-05-2024,iPhone 14 Pro,512GB,White,West,Mumbai,Online,118900,1,0.2,118900,95120,87600,7520
IP10208,22-09-2024,iPhone 15 Pro Max,128GB,Gold,South,Chennai,Store,151300,1,0.05,151300,143735,118700,25035
IP10209,30-09-2023,iPhone 14,128GB,White,West,Mumbai,Online,73200,1,0.2,73200,58560,57100,1460
IP10210,20-06-2024,iPhone 14,128GB,White,East,Patna,Store,83400,2,0.2,166800,133440,128600,4840
IP10211,29-01-2024,iPhone 15 Pro Max,512GB,Silver,West,Mumbai,Store,163700,1,0,163700,163700,126400,37300
IP10212,16-08-2023,iPhone 15,1TB,Silver,West,Pune,Online,88100,1,0.1,88100,79290,69000,10290
IP10213,04-01-2024,iPhone 15 Pro,128GB,Blue,East,Patna,Online,136900,1,0,136900,136900,101700,35200
IP10214,01-06-2024,iPhone 14 Pro,512GB,Black,North,Lucknow,Store,132500,2,0.15,265000,225250,208200,17050
IP10215,11-11-2023,iPhone 15 Pro,128GB,Red,South,Chennai,Store,149600,1,0.2,149600,119680,125700,-6020
IP10216,12-03-2024,iPhone 14,128GB,Red,North,Chandigarh,Online,71500,1,0.2,71500,57200,54000,3200
IP10217,15-09-2024,iPhone 15 Pro Max,256GB,Black,South,Hyderabad,Store,144800,1,0.15,144800,123080,103300,19780
IP10218,16-12-2023,iPhone 15 Pro,256GB,Blue,West,Pune,Store,125200,1,0.15,125200,106420,103500,2920
IP10219,17-06-2025,iPhone 14 Pro,128GB,Silver,West,Mumbai,Store,123100,2,0,246200,246200,198000,48200
IP10220,11-08-2023,iPhone 15 Pro,1TB,Blue,West,Ahmedabad,Online,146900,2,0.1,293800,264420,248400,16020
IP10221,04-01-2023,iPhone 13,256GB,Blue,West,Ahmedabad,Store,60100,1,0.05,60100,57095,44400,12695
IP10222,18-05-2024,iPhone 15 Pro,128GB,Blue,East,Bhubaneswar,Store,141700,1,0.05,141700,134615,118900,15715
IP10223,26-04-2025,iPhone 15 Pro Max,128GB,Silver,East,Bhubaneswar,Store,156100,1,0,156100,156100,115800,40300
IP10224,27-10-2023,iPhone 14 Pro,512GB,White,South,Chennai,Store,115100,1,0.05,115100,109345,86200,23145
IP10225,25-02-2025,iPhone 14,256GB,White,North,Chandigarh,Online,73000,2,0.2,146000,116800,107600,9200
IP10226,12-07-2024,iPhone 15 Pro,128GB,Silver,West,Ahmedabad,Online,141200,1,0.2,141200,112960,105000,7960
IP10227,15-03-2025,iPhone 15,256GB,White,South,Hyderabad,Online,87600,1,0.15,87600,74460,67600,6860
IP10228,16-09-2023,iPhone 13,1TB,Blue,South,Chennai,Store,60800,1,0.15,60800,51680,46700,4980
